Language,Hash,Sentence,Loc,Translated Sentence
en_US,d0bf0c62d36dbfd2b841d4951594aff7,{name1} wished {product1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} desea {product1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,dcf69246ccbf7643a76454a81dc90e2f,products you wished,es_ES,Productos que usted desea.
en_US,e4a8ae278ab5046bd7a5c7e8b6e1c890,{name1} wished {product1} and {product count other products} {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} desea {product1} y {product count other products} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,e72058cef4e19ff6e61b2dd4d741dd12,{name1} and {name2} wished {product count products} {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} y {name2} desean {product count products} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,e74071848bafddbef621cd3af5c1a05d,products he wished,es_ES,Productos que Žl desea.
en_US,e87a822774bfd78deb71ddc4e2aa68cb,products {name} wished,es_ES,Productos que {name} desea.
en_US,ea590718fbdd89d99e6a5aba969c2cd9,{name} wished {number} products.,es_ES,{name} desea {number} productos.
en_US,eb96848640bd5dad1aea5fec497919d4,{name} wished {number} products {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name} desea {number} productos {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,ebcb3bc618ee8bd36af7cf81c3d15114,{name1} wished a product.,es_ES,{name1} desea un producto.
en_US,eda2773f8dddf03b13875ce057e503e9,{name1} wished {product1}.,es_ES,{name1} desea {product1}.
en_US,ee0af2b366d62a2d92f7f78600c19b85,{name1} and {name2} wished {product count products}.,es_ES,{name1} y {name2} desean {product count products}.
en_US,eec0348dfe5bd453f5e9f69a3f496d7c,{name1} wished {product1} and {product2} {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} desea {product1} y {product2} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,f0844ed06b54e9f47b3f36d71769231f,products they wished,es_ES,Productos que ellos desean.
en_US,f570026c0ec9cee628e4cea6cdc61245,{name} wished a product {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name} desea un producto {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,f99d6b7fe2ee660c307d4de53ef15675,a product she wished,es_ES,Un producto que ella desea.
en_US,fb6c88f03bdd2983249775adbd238348,a product you wished,es_ES,Un producto que usted desea.
