language;original_sentence;translated_sentence
it_IT;{name1} and {name count others} demanded {product1} and {product count other products}.;{name1} e {name count others} hanno richiesto {product1} e {product count other products}.
it_IT;{name1} and {name count others} demanded {product1} and {product2}.;{name1} e {name count others} hanno richiesto {product1} e {product2}.
it_IT;{name1} and {name count others} demanded {product1}.;{name1} e {name count others} hanno richiesto {product1}.
it_IT;{name1} and {name count others} demanded a product.;{name1} e {name count others} hanno richiesto un prodotto.
it_IT;{name1} and {name count others} disagreed with {content count contents}.;{name1} e {name count others} non sono d’accordo con {content count contents}.
it_IT;{name1} and {name count others} disagreed with {content1} and {content count other contents}.;{name1} e {name count others} non sono d’accordo con {content1} e {content count other contents}.
it_IT;{name1} and {name count others} disagreed with {content1} and {content2}.;{name1} e {name count others} non sono d’accordo con {content1} e {content2}.
it_IT;{name1} and {name count others} disagreed with {content1}.;{name1} e {name count others} non sono d’accordo con {content1}.
it_IT;{name1} and {name count others} disagreed with a content.;{name1} e {name count others} non sono d’accordo con un contenuto.
it_IT;{name1} and {name count others} disapproved {content count contents}.;{name1} e {name count others} hanno disapprovato {content count contents}.
it_IT;{name1} and {name count others} disapproved {content1} and {content count other contents}.;{name1} e {name count others} hanno disapprovato {content1} e {content count other contents}.
it_IT;{name1} and {name count others} disapproved {content1} and {content2}.;{name1} e {name count others} hanno disapprovato {content1} e {content2}.
it_IT;{name1} and {name count others} disapproved {content1}.;{name1} e {name count others} hanno disapprovato {content1}.
it_IT;{name1} and {name count others} disapproved a content.;{name1} e {name count others} hanno disapprovato un contenuto.
it_IT;{name1} and {name count others} fancied {product count products}.;{name1} e {name count others} hanno gradito {product count products}.
it_IT;{name1} and {name count others} fancied {product1} and {product count other products}.;{name1} e {name count others} hanno gradito {product1} e {product count other products}.
it_IT;{name1} and {name count others} fancied {product1} and {product2}.;{name1} e {name count others} hanno gradito {product1} e {product2}.
it_IT;{name1} and {name count others} fancied {product1}.;{name1} e {name count others} hanno gradito {product1}.
it_IT;{name1} and {name count others} fancied a product.;{name1} e {name count others} hanno gradito un prodotto.
it_IT;{name1} and {name count others} had {product count products}.;{name1} e {name count others} hanno {product count products}.
it_IT;{name1} and {name count others} had {product1} and {product count other products}.;{name1} e {name count others} hanno {product1} e {product count other products}.
it_IT;{name1} and {name count others} had {product1} and {product2}.;{name1} e {name count others} hanno {product1} e {product2}.
it_IT;{name1} and {name count others} had {product1}.;{name1} e {name count others} hanno {product1}.
it_IT;{name1} and {name count others} had a product.;{name1} e {name count others} hanno un prodotto.
it_IT;{name1} and {name count others} lolled {content count contents}.;{name1} e {name count others} hanno riso per {content count contents}.
it_IT;{name1} and {name count others} lolled {content1} and {content count other contents}.;{name1} e {name count others} hanno riso per {content1} e {content count other contents}.
it_IT;{name1} and {name count others} lolled {content1} and {content2}.;{name1} e {name count others} hanno riso per {content1} e {content2}.
it_IT;{name1} and {name count others} lolled {content1}.;{name1} e {name count others} hanno riso per {content1}.
it_IT;{name1} and {name count others} lolled at {product count products}.;{name1} e {name count others} hanno riso per {product count products}.
it_IT;{name1} and {name count others} lolled at {product1} and {product count other products}.;{name1} e {name count others} hanno riso per {product1} e {product count other products}.
it_IT;{name1} and {name count others} lolled at {product1} and {product2}.;{name1} e {name count others} hanno riso per {product1} e {product2}.
it_IT;{name1} and {name count others} lolled at {product1}.;{name1} e {name count others} hanno riso per {product1}.
it_IT;{name1} and {name count others} lolled at a content.;{name1} e {name count others} hanno riso per un contenuto.
it_IT;{name1} and {name count others} lolled at a product.;{name1} e {name count others} hanno riso per un prodotto.
it_IT;{name1} and {name count others} loved {content count contents}.;{name1} e {name count others} hanno amato {content count contents}.
it_IT;{name1} and {name count others} loved {content1} and {content count other contents}.;{name1} e {name count others} hanno amato {content1} e {content count other contents}.
it_IT;{name1} and {name count others} loved {content1} and {content2}.;{name1} e {name count others} hanno amato {content1} e {content2}.
it_IT;{name1} and {name count others} loved {content1}.;{name1} e {name count others} hanno amato {content1}.
it_IT;{name1} and {name count others} loved {product count products}.;{name1} e {name count others} hanno amato {product count products}.
it_IT;{name1} and {name count others} loved {product1} and {product count other products}.;{name1} e {name count others} hanno amato {product1} e {product count other products}.
it_IT;{name1} and {name count others} loved {product1} and {product2}.;{name1} e {name count others} ha amato {product1} e {product2}.
it_IT;{name1} and {name count others} loved {product1}.;{name1} e {name count others} hanno amato {product1}.
it_IT;{name1} and {name count others} loved a content.;{name1} e {name count others} hanno amato un contenuto.
it_IT;{name1} and {name count others} loved a product.;{name1} e {name count others} hanno amato un prodotto.
it_IT;{name1} and {name count others} needed {product count products}.;{name1} e {name count others} avevano bisogno di {product count products}.
it_IT;{name1} and {name count others} needed {product1} and {product count other products}.;{name1} e {name count others} avevano bisogno di {product1} e {product count other products}.
it_IT;{name1} and {name count others} needed {product1} and {product2}.;{name1} e {name count others} avevano bisogno di {product1} e {product2}.
it_IT;{name1} and {name count others} needed {product1}.;{name1} e {name count others} avevano bisogno di {product1}.
it_IT;{name1} and {name count others} needed a product.;{name1} e {name count others} avevano bisogno di un prodotto.
it_IT;{name1} and {name count others} opposed {content count contents}.;{name1} e {name count others} si sono opposti a {content count contents}.
it_IT;{name1} and {name count others} opposed {content1} and {content count other contents}.;{name1} e {name count others} si sono opposti a {content1} e {content count other contents}.
it_IT;{name1} and {name count others} opposed {content1} and {content2}.;{name1} e {name count others} si sono opposti a {content1} e {content2}.
it_IT;{name1} and {name count others} opposed {content1}.;{name1} e {name count others} si sono opposti a {content1}.
it_IT;{name1} and {name count others} opposed a content.;{name1} e {name count others} si sono opposti a un contenuto.
it_IT;{name1} and {name count others} protested at {content count contents}.;{name1} and {name count others} protested at {content count contents}.
it_IT;{name1} and {name count others} protested at {content1} and {content count other contents}.;{name1} e {name count others} hanno protestato per {content1} e {content count other contents}.
it_IT;{name1} and {name count others} protested at {content1} and {content2}.;{name1} e {name count others} hanno protestato per {content1} e {content2}.
it_IT;{name1} and {name count others} protested at {content1}.;{name1} e {name count others} hanno protestato per {content1}.
it_IT;{name1} and {name count others} protested at a content.;{name1} and {name count others} hanno protestato per un contenuto.
it_IT;{name1} and {name count others} reacted to {content count contents}.;{name1} e {name count others} hanno reagito a {content count contents}.
it_IT;{name1} and {name count others} reacted to {content1} and {content count other contents}.;{name1} e {name count others} hanno reagito a {content1} e {content count other contents}.
it_IT;{name1} and {name count others} reacted to {content1} and {content2}.;{name1} e {name count others} hanno reagito a {content1} e {content2}.
it_IT;{name1} and {name count others} reacted to {content1}.;{name1} e {name count others} hanno reagito a {content1}.
it_IT;{name1} and {name count others} reacted to {product count products}.;{name1} e {name count others} hanno reagito a {product count products}.
it_IT;{name1} and {name count others} reacted to {product1} and {product count other products}.;{name1} e {name count others} hanno reagito a {product1} e {product count other products}.
it_IT;{name1} and {name count others} reacted to {product1} and {product2}.;{name1} e {name count others} hanno reagito a {product1} e {product2}.
it_IT;{name1} and {name count others} reacted to {product1}.;{name1} e {name count others} hanno reagito a {product1}.
it_IT;{name1} and {name count others} reacted to a content.;{name1} e {name count others} hanno reagito a un contenuto.
it_IT;{name1} and {name count others} reacted to a product.;{name1} e {name count others} hanno reagito a un prodotto.
it_IT;{name1} and {name count others} respected {content count contents}.;{name1} e {name count others} hanno rispettato {content count contents}.
it_IT;{name1} and {name count others} respected {content1} and {content count other contents}.;{name1} e {name count others} hanno rispettato {content1} e {content count other contents}.
it_IT;{name1} and {name count others} respected {content1} and {content2}.;{name1} e {name count others} hanno rispettato {content1} e {content2}.
it_IT;{name1} and {name count others} respected {content1}.;{name1} e {name count others} hanno rispettato {content1}.
it_IT;{name1} and {name count others} respected a content.;{name1} e {name count others} hanno rispettato un contenuto.
it_IT;{name1} and {name count others} smiled at {content count contents}.;{name1} e {name count others} hanno sorriso per {content count contents}.
it_IT;{name1} and {name count others} smiled at {content1} and {content count other contents}.;{name1} e {name count others} hanno sorriso per {content1} e {content count other contents}.
it_IT;{name1} and {name count others} smiled at {content1} and {content2}.;{name1} e {name count others} hanno sorriso per {content1} e {content2}.
it_IT;{name1} and {name count others} smiled at {content1}.;{name1} e {name count others} hanno sorriso per {content1}.
it_IT;{name1} and {name count others} smiled at {product count products}.;{name1} e {name count others} hanno sorriso per {product count products}.
it_IT;{name1} and {name count others} smiled at {product1} and {product count other products}.;{name1} e {name count others} hanno sorriso per {product1} e {product count other products}.
it_IT;{name1} and {name count others} smiled at {product1} and {product2}.;{name1} e {name count others} hanno sorriso per {product1} e {product2}.
it_IT;{name1} and {name count others} smiled at {product1}.;{name1} e {name count others} hanno sorriso per {product1}.
it_IT;{name1} and {name count others} smiled at a content.;{name1} e {name count others} hanno sorriso per un contenuto.
it_IT;{name1} and {name count others} smiled at a product.;{name1} e {name count others} hanno sorriso per un prodotto.
it_IT;{name1} and {name count others} suggested {content count contents}.;{name1} e {name count others} hanno suggerito {content count contents}.
it_IT;{name1} and {name count others} suggested {content1} and {content count other contents}.;{name1} e {name count others} hanno suggerito {content1} e {content count other contents}.
it_IT;{name1} and {name count others} suggested {content1} and {content2}.;{name1} e {name count others} hanno suggerito {content1} e {content2}.
it_IT;{name1} and {name count others} suggested {content1}.;{name1} e {name count others} hanno suggerito {content1}.
it_IT;{name1} and {name count others} suggested {product count products}.;{name1} e {name count others} hanno suggerito {product count products}.
it_IT;{name1} and {name count others} suggested {product1} and {product count other products}.;{name1} e {name count others} hanno suggerito {product1} e {product count other products}.
it_IT;{name1} and {name count others} suggested {product1} and {product2}.;{name1} e {name count others} hanno suggerito {product1} e {product2}.
it_IT;{name1} and {name count others} suggested {product1}.;{name1} e {name count others} hanno suggerito {product1}.
it_IT;{name1} and {name count others} suggested a content.;{name1} e {name count others} hanno suggerito un contenuto.
it_IT;{name1} and {name count others} suggested a product.;{name1} e {name count others} hanno suggerito un prodotto.
it_IT;{name1} and {name count others} supported {content count contents}.;{name1} e {name count others} hanno supportato {content count contents}.
it_IT;{name1} and {name count others} supported {content1} and {content count other contents}.;{name1} e {name count others} hanno supportato {content1} e {content count other contents}.
it_IT;{name1} and {name count others} supported {content1} and {content2}.;{name1} e {name count others} hanno supportato {content1} e {content2}.
it_IT;{name1} and {name count others} supported {content1}.;{name1} e {name count others} hanno supportato {content1}.
it_IT;{name1} and {name count others} supported a content.;{name1} e {name count others} hanno supportato un contenuto.
it_IT;{name1} and {name count others} thought about {content count contents}.;{name1} e {name count others} hanno pensato qualcosa su {content count contents}.
it_IT;{name1} and {name count others} thought about {content1} and {content count other contents}.;{name1} e {name count others} hanno pensato qualcosa su {content1} e {content count other contents}.
it_IT;{name1} and {name count others} thought about {content1} and {content2}.;{name1} e {name count others} hanno pensato qualcosa su {content1} e {content2}.
it_IT;{name1} and {name count others} thought about {content1}.;{name1} e {name count others} hanno pensato qualcosa su {content1}.
it_IT;{name1} and {name count others} thought about {product count products}.;{name1} e {name count others} hanno pensato qualcosa su {product count products}.
it_IT;{name1} and {name count others} thought about {product1} and {product count other products}.;{name1} e {name count others} hanno pensato qualcosa su {product1} e {product count other products}.
it_IT;{name1} and {name count others} thought about {product1} and {product2}.;{name1} e {name count others} hanno pensato qualcosa su {product1} e {product2}.
it_IT;{name1} and {name count others} thought about {product1}.;{name1} e {name count others} hanno pensato qualcosa su {product1}.
it_IT;{name1} and {name count others} thought about a content.;{name1} e {name count others} hanno pensato qualcosa su un contenuto.
it_IT;{name1} and {name count others} thought about a product.;{name1} e {name count others} hanno pensato qualcosa su un prodotto.
it_IT;{name1} and {name count others} wished for {product count products}.;{name1} e {name count others} hanno desiderato {product count products}.
it_IT;{name1} and {name count others} wished for {product1} and {product count other products}.;{name1} e {name count others} hanno desiderato {product1} e {product count other products}.
it_IT;{name1} and {name count others} wished for {product1} and {product2}.;{name1} e {name count others} hanno desiderato {product1} e {product2}.
it_IT;{name1} and {name count others} wished for {product1}.;{name1} e {name count others} hanno desiderato {product1}.
it_IT;{name1} and {name count others} wished for a product.;{name1} e {name count others} hanno desiderato un prodotto.
it_IT;{name1} and {name count} others agreed with this.;{name1} e {name count} altri è d’accordo con questo.
it_IT;{name1} and {name count} others applauded this.;{name1} e {name count} altri hanno applaudito questo.
it_IT;{name1} and {name count} others approved this.;{name1} e {name count} altri hanno approvato questo.
it_IT;{name1} and {name count} others demanded this.;{name1} e {name count} altri hanno richiesto questo.
it_IT;{name1} and {name count} others disagreed with this.;{name1} e {name count} altri non sono d’accordo con questo.
it_IT;{name1} and {name count} others disapproved this.;{name1} e {name count} altri hanno disapprovato questo.
it_IT;{name1} and {name count} others fancied this.;{name1} e {name count} altri hanno gradito questo.
it_IT;{name1} and {name count} others had this.;{name1} e {name count} altri hanno questo.
it_IT;{name1} and {name count} others lolled at this.;{name1} e {name count} altri hanno riso per questo.
it_IT;{name1} and {name count} others loved this.;{name1} e {name count} altri hanno amato questo.
it_IT;{name1} and {name count} others needed this.;{name1} e {name count} altri avevano bisogno di questo.
it_IT;{name1} and {name count} others opposed this.;{name1} e {name count} altri si sono opposti a questo.
it_IT;{name1} and {name count} others protested at this.;{name1} e {name count} altri hanno protestato per questo.
it_IT;{name1} and {name count} others reacted to this.;{name1} e {name count} altri hanno reagito a questo.
it_IT;{name1} and {name count} others respected this.;{name1} e {name count} altri hanno rispettato questo.
it_IT;{name1} and {name count} others smiled at this.;{name1} e {name count} altri hanno sorriso per questo.
it_IT;{name1} and {name count} others suggested this.;{name1} e {name count} altri hanno suggerito questo.
it_IT;{name1} and {name count} others supported this.;{name1} e {name count} altri hanno supportato questo.
it_IT;{name1} and {name count} others thought about this.;{name1} e {name count} altri hanno pensato a qualcosa su questo.
it_IT;{name1} and {name count} others wished for this.;{name1} e {name count} altri hanno desiderato questo.
it_IT;{name1} and {name2} agreed with {content count contents}.;{name1} e {name2} sono d’accordo con {content count contents}.
it_IT;{name1} and {name2} agreed with {content1} and {content count other contents}.;{name1} e {name2} sono d’accordo con {content1} e {content count other contents}.
it_IT;{name1} and {name2} agreed with {content1} and {content2}.;{name1} e {name2} sono d’accordo con {content1} e {content2}.
it_IT;{name1} and {name2} agreed with {content1}.;{name1} e {name2} sono d’accordo con {content1}.
it_IT;{name1} and {name2} agreed with a content.;{name1} e {name2} sono d’accordo con un contenuto.
it_IT;{name1} and {name2} agreed with this.;{name1} e {name2} sono d’accordo con questo.
it_IT;{name1} and {name2} applauded {content count contents}.;{name1} e {name2} hanno applaudito {content count contents}.
it_IT;{name1} and {name2} applauded {content1} and {content count other contents}.;{name1} e {name2} hanno applaudito {content1} e {content count other contents}.
it_IT;{name1} and {name2} applauded {content1} and {content2}.;{name1} e {name2} hanno applaudito {content1} e {content2}.
it_IT;{name1} and {name2} applauded {content1}.;{name1} e {name2} hanno applaudito {content1}.
it_IT;{name1} and {name2} applauded a content.;{name1} e {name2} hanno applaudito un contenuto.
it_IT;{name1} and {name2} applauded this.;{name1} e {name2} hanno applaudito questo.
it_IT;{name1} and {name2} approved {content count contents}.;{name1} e {name2} hanno approvato {content count contents}.
it_IT;{name1} and {name2} approved {content1} and {content count other contents}.;{name1} e {name2} hanno approvato {content1} e {content count other contents}.
it_IT;{name1} and {name2} approved {content1} and {content2}.;{name1} e {name2} hanno approvato {content1} e {content2}.
it_IT;{name1} and {name2} approved {content1}.;{name1} e {name2} hanno approvato {content1}.
it_IT;{name1} and {name2} approved a content.;{name1} e {name2} ha approvato un contenuto.
it_IT;{name1} and {name2} approved this.;{name1} e {name2} hanno approvato questo.
it_IT;{name1} and {name2} demanded {product count products}.;{name1} e {name2} hanno richiesto {product count products}.
it_IT;{name1} and {name2} demanded {product1} and {product count other products}.;{name1} e {name2} hanno richiesto {product1} e {product count other products}.
it_IT;{name1} and {name2} demanded {product1} and {product2}.;{name1} e {name2} hanno richiesto {product1} e {product2}.
it_IT;{name1} and {name2} demanded {product1}.;{name1} e {name2} hanno richiesto {product1}.
it_IT;{name1} and {name2} demanded a product.;{name1} e {name2} hanno richiesto un prodotto.
it_IT;{name1} and {name2} demanded this.;{name1} e {name2} hanno richiesto questo.
it_IT;{name1} and {name2} disagreed with {content count contents}.;{name1} e {name2} non sono d’accordo con {content count contents}.
it_IT;{name1} and {name2} disagreed with {content1} and {content count other contents}.;{name1} e {name2} non sono d’accordo con {content1} e {content count other contents}.
it_IT;{name1} and {name2} disagreed with {content1} and {content2}.;{name1} e {name2} non sono d’accordo con {content1} e {content2}.
it_IT;{name1} and {name2} disagreed with {content1}.;{name1} e {name2} non sono d’accordo con {content1}.
it_IT;{name1} and {name2} disagreed with a content.;{name1} e {name2} non sono d’accordo con un contenuto.
it_IT;{name1} and {name2} disagreed with this.;{name1} e {name2} non sono d’accordo con questo.
it_IT;{name1} and {name2} disapproved {content count contents}.;{name1} e {name2} hanno disapprovato {content count contents}.
it_IT;{name1} and {name2} disapproved {content1} and {content count other contents}.;{name1} e {name2} hanno disapprovato {content1} e {content count other contents}.
it_IT;{name1} and {name2} disapproved {content1} and {content2}.;{name1} e {name2} hanno disapprovato {content1} e {content2}.
it_IT;{name1} and {name2} disapproved {content1}.;{name1} e {name2} hanno disapprovato {content1}.
it_IT;{name1} and {name2} disapproved a content.;{name1} e {name2} hanno disapprovato un contenuto.
it_IT;{name1} and {name2} disapproved this.;{name1} e {name2} hanno disapprovato questo.
it_IT;{name1} and {name2} fancied {product count products}.;{name1} e {name2} hanno gradito {product count products}.
it_IT;{name1} and {name2} fancied {product1} and {product count other products}.;{name1} e {name2} hanno gradito {product1} e {product count other products}.
it_IT;{name1} and {name2} fancied {product1} and {product2}.;{name1} e {name2} hanno gradito {product1} e {product2}.
it_IT;{name1} and {name2} fancied {product1}.;{name1} e {name2} hanno gradito {product1}.
it_IT;{name1} and {name2} fancied a product.;{name1} e {name2} hanno gradito un prodotto.
it_IT;{name1} and {name2} fancied this.;{name1} e {name2} hanno gradito questo.
it_IT;{name1} and {name2} had {product count products}.;{name1} e {name2} hanno {product count products}.
it_IT;{name1} and {name2} had {product1} and {product count other products}.;{name1} e {name2} hanno {product1} e {product count other products}.
it_IT;{name1} and {name2} had {product1} and {product2}.;{name1} e {name2} hanno {product1} e {product2}.
it_IT;{name1} and {name2} had {product1}.;{name1} e {name2} hanno {product1}.
it_IT;{name1} and {name2} had a product.;{name1} e {name2} hanno un prodotto.
it_IT;{name1} and {name2} had this.;{name1} e {name2} hanno questo.
it_IT;{name1} and {name2} lolled {content count contents}.;{name1} e {name2} hanno riso per {content count contents}.
it_IT;{name1} and {name2} lolled {content1} and {content count other contents}.;{name1} e {name2} hanno riso per {content1} e {content count other contents}.
it_IT;{name1} and {name2} lolled {content1} and {content2}.;{name1} e {name2} hanno riso per {content1} e {content2}.
it_IT;{name1} and {name2} lolled {content1}.;{name1} e {name2} hanno riso per {content1}.
it_IT;{name1} and {name2} lolled at {product count products}.;{name1} e {name2} hanno riso per {product count products}.
it_IT;{name1} and {name2} lolled at {product1} and {product count other products}.;{name1} e {name2} hanno riso per {product1} e {product count other products}.
it_IT;{name1} and {name2} lolled at {product1} and {product2}.;{name1} e {name2} hanno riso per {product1} e {product2}.
it_IT;{name1} and {name2} lolled at {product1}.;{name1} e {name2} hanno riso per {product1}.
it_IT;{name1} and {name2} lolled at a content.;{name1} e {name2} ha riso per un contenuto.
it_IT;{name1} and {name2} lolled at a product.;{name1} e {name2} hanno riso per un prodotto.
it_IT;{name1} and {name2} lolled at this.;{name1} e {name2} hanno riso per questo.
it_IT;{name1} and {name2} loved {content count contents}.;{name1} e {name2} hanno amato {content count contents}.
it_IT;{name1} and {name2} loved {content1} and {content count other contents}.;{name1} e {name2} hanno amato {content1} e {content count other contents}.
it_IT;{name1} and {name2} loved {content1} and {content2}.;{name1} e {name2} hanno amato {content1} e {content2}.
it_IT;{name1} and {name2} loved {content1}.;{name1} e {name2} hanno amato {content1}.
it_IT;{name1} and {name2} loved {product count products}.;{name1} e {name2} hanno amato {product count products}.
it_IT;{name1} and {name2} loved {product1} and {product count other products}.;{name1} e {name2} hanno amato {product1} e {product count other products}.
it_IT;{name1} and {name2} loved {product1} and {product2}.;{name1} e {name2} hanno amato {product1} e {product2}.
it_IT;{name1} and {name2} loved {product1}.;{name1} e {name2} hanno amato {product1}.
it_IT;{name1} and {name2} loved a content.;{name1} e {name2} hanno amato un contenuto.
it_IT;{name1} and {name2} loved a product.;{name1} e {name2} hanno amato un prodotto.
it_IT;{name1} and {name2} loved this.;{name1} e {name2} hanno amato questo.
it_IT;{name1} and {name2} needed {product count products}.;{name1} e {name2} avevano bisogno di {product count products}.
it_IT;{name1} and {name2} needed {product1} and {product count other products}.;{name1} e {name2} avevano bisogno di {product1} e {product count other products}.
it_IT;{name1} and {name2} needed {product1} and {product2}.;{name1} e {name2} avevano bisogno di {product1} e {product2}.
it_IT;{name1} and {name2} needed {product1}.;{name1} e {name2} avevano bisogno di {product1}.
it_IT;{name1} and {name2} needed a product.;{name1} e {name2} avevano bisogno di un prodotto.
it_IT;{name1} and {name2} needed this.;{name1} e {name2} avevano bisogno di questo.
it_IT;{name1} and {name2} opposed {content count contents}.;{name1} e {name2} si sono opposti a {content count contents}.
it_IT;{name1} and {name2} opposed {content1} and {content count other contents}.;{name1} e {name2} si sono opposti a {content1} e {content count other contents}.
it_IT;{name1} and {name2} opposed {content1} and {content2}.;{name1} e {name2} si sono opposti a {content1} e {content2}.
it_IT;{name1} and {name2} opposed {content1}.;{name1} e {name2} si sono opposti a {content1}.
it_IT;{name1} and {name2} opposed a content.;{name1} e {name2} si sono opposti a un contenuto.
it_IT;{name1} and {name2} opposed this.;{name1} e {name2} si sono opposti a questo.
it_IT;{name1} and {name2} protested at {content count contents}.;{name1} e {name2} hanno protestato per {content count contents}.
it_IT;{name1} and {name2} protested at {content1} and {content count other contents}.;{name1} e {name2} hanno protestato per {content1} e {content count other contents}.
it_IT;{name1} and {name2} protested at {content1} and {content2}.;{name1} e {name2} hanno protestato per {content1} e {content2}.
it_IT;{name1} and {name2} protested at {content1}.;{name1} e {name2} hanno protestato per {content1}.
