language;original_sentence;translated sentence
es_LA;{name1} and {name count others} disapproved {content1}.;{name1} y {name count others} desaprueban {content1}.
es_LA;{name1} and {name count others} disapproved a content.;{name1} y {name count others} desaprueban un contenido.
es_LA;{name1} and {name count others} fancied {product count products}.;{name1} y {name count others} quieren {product count products}.
es_LA;{name1} and {name count others} fancied {product1} and {product count other products}.;{name1} y {name count others} quieren {product1} y {product count other products}.
es_LA;{name1} and {name count others} fancied {product1} and {product2}.;{name1} y {name count others} quieren {product1} y {product2}.
es_LA;{name1} and {name count others} fancied {product1}.;{name1} y {name count others} quieren {product1}.
es_LA;{name1} and {name count others} fancied a product.;{name1} y {name count others} quieren un producto.
es_LA;{name1} and {name count others} had {product count products}.;{name1} y {name count others} tienen {product count products}.
es_LA;{name1} and {name count others} had {product1} and {product count other products}.;{name1} y {name count others} tienen {product1} y {product count other products}.
es_LA;{name1} and {name count others} had {product1} and {product2}.;{name1} y {name count others} tienen {product1} y {product2}.
es_LA;{name1} and {name count others} had {product1}.;{name1} y {name count others} tienen {product1}.
es_LA;{name1} and {name count others} had a product.;{name1} y {name count others} tienen un producto.
es_LA;{name1} and {name count others} lolled {content count contents}.;{name1} y {name count others} se rieron a carcajadas de {content count contents}.
es_LA;{name1} and {name count others} lolled {content1} and {content count other contents}.;{name1} y {name count others} se rieron a carcajadas de {content1} y {content count other contents}.
es_LA;{name1} and {name count others} lolled {content1} and {content2}.;{name1} y {name count others} se rieron a carcajadas {content1} y {content2}.
es_LA;{name1} and {name count others} lolled {content1}.;{name1} y {name count others} se rieron a carcajadas {content1}.
es_LA;{name1} and {name count others} lolled at {product count products}.;{name1} y {name count others} se rióron a carcajadas de {product count products}.
es_LA;{name1} and {name count others} lolled at {product1} and {product count other products}.;{name1} y {name count others} se rieron a carcajadas de {product1} y {product count other products}.
es_LA;{name1} and {name count others} lolled at {product1} and {product2}.;{name1} y {name count others} se rieron a carcajadas de {product1} y {product2}.
es_LA;{name1} and {name count others} lolled at {product1}.;{name1} y {name count others} se rieron a carcajadas de {product1}.
es_LA;{name1} and {name count others} lolled at a content.;{name1} y {name count others} se rieron a carcajadas de un contenido.
es_LA;{name1} and {name count others} lolled at a product.;{name1} y {name count others} se rieron a carcajadas de un producto.
es_LA;{name1} and {name count others} loved {content count contents}.;{name1} y {name count others} aman {content count contents}.
es_LA;{name1} and {name count others} loved {content1} and {content count other contents}.;{name1} y {name count others} aman {content1} y {content count other contents}.
es_LA;{name1} and {name count others} loved {content1} and {content2}.;{name1} y {name count others} aman {content1} y {content2}.
es_LA;{name1} and {name count others} loved {content1}.;{name1} y {name count others} aman {content1}.
es_LA;{name1} and {name count others} loved {product count products}.;{name1} y {name count others} aman {product count products}.
es_LA;{name1} and {name count others} loved {product1} and {product count other products}.;{name1} y {name count others} aman {product1} y {product count other products}.
es_LA;{name1} and {name count others} loved {product1} and {product2}.;{name1} y {name count others} aman {product1} y {product2}.
es_LA;{name1} and {name count others} loved {product1}.;{name1} y {name count others} aman {product1}.
es_LA;{name1} and {name count others} loved a content.;{name1} y {name count others} aman un contenido.
es_LA;{name1} and {name count others} loved a product.;{name1} y {name count others} aman un producto.
es_LA;{name1} and {name count others} needed {product count products}.;{name1} y {name count others} necesitan {product count products}.
es_LA;{name1} and {name count others} needed {product1} and {product count other products}.;{name1} y {name count others} necesitan {product1} y {product count other products}.
es_LA;{name1} and {name count others} needed {product1} and {product2}.;{name1} y {name count others} necesitan {product1} y {product2}.
es_LA;{name1} and {name count others} needed {product1}.;{name1} y {name count others} necesitan {product1}.
es_LA;{name1} and {name count others} needed a product.;{name1} y {name count others} necesitan un producto.
es_LA;{name1} and {name count others} opposed {content count contents}.;{name1} y {name count others} se oponen a {content count contents}.
es_LA;{name1} and {name count others} opposed {content1} and {content count other contents}.;{name1} y {name count others} se opone a {content1} y {content count other contents}.
es_LA;{name1} and {name count others} opposed {content1} and {content2}.;{name1} y {name count others} se oponen a {content1} y {content2}.
es_LA;{name1} and {name count others} opposed {content1}.;{name1} y {name count others} se oponen a {content1}.
es_LA;{name1} and {name count others} opposed a content.;{name1} y {name count others} se oponen a un contenido.
es_LA;{name1} and {name count others} protested at {content count contents}.;{name1} y {name count others} protestan en contra de {content count contents}.
es_LA;{name1} and {name count others} protested at {content1} and {content count other contents}.;{name1} y {name count others} protestan en contra de {content1} y {content count other contents}.
es_LA;{name1} and {name count others} protested at {content1} and {content2}.;{name1} y {name count others} protestan en contra de {content1} y {content2}.
es_LA;{name1} and {name count others} protested at {content1}.;{name1} y {name count others} protestan en contra de {content1}.
es_LA;{name1} and {name count others} protested at a content.;{name1} y {name count others} protestan en contra de un contenido.
es_LA;{name1} and {name count others} reacted to {content count contents}.;{name1} y {name count others} han reaccionado a {content count contents}.
es_LA;{name1} and {name count others} reacted to {content1} and {content count other contents}.;{name1} y {name count others} han reaccionado a {content1} y {content count other contents}.
es_LA;{name1} and {name count others} reacted to {content1} and {content2}.;{name1} y {name count others} han reaccionado a {content1} y {content2}.
es_LA;{name1} and {name count others} reacted to {content1}.;{name1} y {name count others} han reaccionado a {content1}.
es_LA;{name1} and {name count others} reacted to {product count products}.;{name1} y {name count others} han reaccionado a {product count products}.
es_LA;{name1} and {name count others} reacted to {product1} and {product count other products}.;{name1} y {name count others} han reaccionado a {product1} y {product count other products}.
es_LA;{name1} and {name count others} reacted to {product1} and {product2}.;{name1} y {name count others} han reaccionado a {product1} y {product2}.
es_LA;{name1} and {name count others} reacted to {product1}.;{name1} y {name count others} han reaccionado a {product1}.
es_LA;{name1} and {name count others} reacted to a content.;{name1} y {name count others} han reaccionado a un contenido.
es_LA;{name1} and {name count others} reacted to a product.;{name1} y {name count others} han reaccionado a un producto.
es_LA;{name1} and {name count others} respected {content count contents}.;{name1} y {name count others}  han respetado {content count contents}.
es_LA;{name1} and {name count others} respected {content1} and {content count other contents}.;{name1} y {name count others} han respetado {content1} y {content count other contents}.
es_LA;{name1} and {name count others} respected {content1} and {content2}.;{name1} y {name count others} han respetado {content1} y {content2}.
es_LA;{name1} and {name count others} respected {content1}.;{name1} y {name count others} han respetado {content1}.
es_LA;{name1} and {name count others} respected a content.;{name1} y {name count others} han respetado un contenido.
es_LA;{name1} and {name count others} smiled at {content count contents}.;{name1} y {name count others} le sonrieron a {content count contents}.
es_LA;{name1} and {name count others} smiled at {content1} and {content count other contents}.;{name1} y {name count others} le sonrieron a {content1} y {content count other contents}.
es_LA;{name1} and {name count others} smiled at {content1} and {content2}.;{name1} y {name count others} le sonrieron a {content1} y {content2}.
es_LA;{name1} and {name count others} smiled at {content1}.;{name1} y {name count others} le sonrieron a {content1}.
es_LA;{name1} and {name count others} smiled at {product count products}.;{name1} y {name count others} le sonrieron a {product count products}.
es_LA;{name1} and {name count others} smiled at {product1} and {product count other products}.;{name1} y {name count others} le sonrieron a {product1} y {product count other products}.
es_LA;{name1} and {name count others} smiled at {product1} and {product2}.;{name1} y {name count others} le sonrieron a {product1} y {product2}.
es_LA;{name1} and {name count others} smiled at {product1}.;{name1} y {name count others} le sonrieron a {product1}.
es_LA;{name1} and {name count others} smiled at a content.;{name1} y {name count others} le sonrieron a un contenido.
es_LA;{name1} and {name count others} smiled at a product.;{name1} y {name count others} le sonrieron a un producto.
es_LA;{name1} and {name count others} suggested {content count contents}.;{name1} y {name count others} recomiendan {content count contents}.
es_LA;{name1} and {name count others} suggested {content1} and {content count other contents}.;{name1} y {name count others} recomiendan {content1} y {content count other contents}.
es_LA;{name1} and {name count others} suggested {content1} and {content2}.;{name1} y {name count others} recomiendan {content1} y {content2}.
es_LA;{name1} and {name count others} suggested {content1}.;{name1} y {name count others} recomienda {content1}.
es_LA;{name1} and {name count others} suggested {product count products}.;{name1} y {name count others} recomiendan {product count products}.
es_LA;{name1} and {name count others} suggested {product1} and {product count other products}.;{name1} y {name count others} recomiendan {product1} y {product count other products}.
es_LA;{name1} and {name count others} suggested {product1} and {product2}.;{name1} y {name count others} recomiendan {product1} y {product2}.
es_LA;{name1} and {name count others} suggested {product1}.;{name1} y {name count others} recomiendan {product1}.
es_LA;{name1} and {name count others} suggested a content.;{name1} y {name count others} recomiendan un contenido.
es_LA;{name1} and {name count others} suggested a product.;{name1} y {name count others} recomiendan un producto.
es_LA;{name1} and {name count others} supported {content count contents}.;{name1} y {name count others} apoyan {content count contents}.
es_LA;{name1} and {name count others} supported {content1} and {content count other contents}.;{name1} y {name count others} apoyan {content1} y {content count other contents}.
es_LA;{name1} and {name count others} supported {content1} and {content2}.;{name1} y {name count others} apoyan {content1} and {content2}.
es_LA;{name1} and {name count others} supported {content1}.;{name1} y {name count others} apoyan {content1}.
es_LA;{name1} and {name count others} supported a content.;{name1} y {name count others} apoyan un contenido.
es_LA;{name1} and {name count others} thought about {content count contents}.;{name1} y {name count others} pensaron algo sobre {content count contents}.
es_LA;{name1} and {name count others} thought about {content1} and {content count other contents}.;{name1} y {name count others} pensaron algo sobre {content1} y {content count other contents}.
es_LA;{name1} and {name count others} thought about {content1} and {content2}.;{name1} y {name count others} pensaron algo sobre {content1} y {content2}.
es_LA;{name1} and {name count others} thought about {content1}.;{name1} y {name count others} pensaron algo sobre {content1}.
es_LA;{name1} and {name count others} thought about {product count products}.;{name1} y {name count others} pensaron algo sobre {product count products}.
es_LA;{name1} and {name count others} thought about {product1} and {product count other products}.;{name1} y {name count others} pensaron algo sobre {product1} y {product count other products}.
es_LA;{name1} and {name count others} thought about {product1} and {product2}.;{name1} y {name count others} pensaron algo sobre {product1} y {product2}.
es_LA;{name1} and {name count others} thought about {product1}.;{name1} y {name count others} pensaron algo sobre {product1}.
es_LA;{name1} and {name count others} thought about a content.;{name1} y {name count others} pensaron algo sobre un contenido.
es_LA;{name1} and {name count others} thought about a product.;{name1} y {name count others} pensaron algo sobre un producto.
es_LA;{name1} and {name count others} wished {product count products}.;{name1} y {name count others} desean {product count products}.
es_LA;{name1} and {name count others} wished {product1} and {product count other products}.;{name1} y {name count others} desean {product1} y {product count other products}.
es_LA;{name1} and {name count others} wished {product1} and {product2}.;{name1} y {name count others} desean {product1} y {product2}.
es_LA;{name1} and {name count others} wished {product1}.;{name1} y {name count others} desean {product1}.
es_LA;{name1} and {name count others} wished a product.;{name1} y {name count others} desean un producto.
es_LA;{name1} and {name count} others agreed with this.;{name1} y {name count} otros están de acuerdo con esto.
es_LA;{name1} and {name count} others applauded this.;{name1} y {name count} otros aplaudieron esto.
es_LA;{name1} and {name count} others approved this.;{name1} y {name count} otros aprobaron esto.
es_LA;{name1} and {name count} others demanded this.;{name1} y {name count} otros solicitan esto.
es_LA;{name1} and {name count} others disagreed with this.;{name1} y {name count} no estan de acuerdo con esto.
es_LA;{name1} and {name count} others disapproved this.;{name1} y {name count} otros desaprueban esto.
es_LA;{name1} and {name count} others fancied this.;{name1} y {name count} otros quieren esto.
es_LA;{name1} and {name count} others had this.;{name1} y {name count} otros tienen esto.
es_LA;{name1} and {name count} others lolled at this.;{name1} y {name count} se rieron a carcajadas com esto.
es_LA;{name1} and {name count} others loved this.;{name1} y {name count} otros aman esto.
es_LA;{name1} and {name count} others needed this.;{name1} y {name count} otros necesitan esto.
es_LA;{name1} and {name count} others opposed this.;{name1} y {name count} otros se oponen a esto.
es_LA;{name1} and {name count} others protested at this.;{name1} y {name count} otros protestan en contra de esto.
es_LA;{name1} and {name count} others reacted to this.;{name1} y {name count} han reaccionado a esto.
es_LA;{name1} and {name count} others respected this.;{name1} y {name count} han respetado esto.
es_LA;{name1} and {name count} others smiled at this.;{name1} y {name count} otros sonrieron a esto.
es_LA;{name1} and {name count} others suggested this.;{name1} y {name count} otros recomiendan esto.
es_LA;{name1} and {name count} others supported this.;{name1} y {name count} otros apoyan esto.
es_LA;{name1} and {name count} others thought about this.;{name1} y {name count} otros pensaron algo sobre esto.
es_LA;{name1} and {name count} others wished this.;{name1} y {name count} otros desean esto.
es_LA;{name1} and {name2} agreed with {content count contents}.;{name1} y {name2} están de acuerdo con {content count contents}.
es_LA;{name1} and {name2} agreed with {content1} and {content count other contents}.;{name1} y {name2} están de acuerdo con {content1} y {content count other contents}.
es_LA;{name1} and {name2} agreed with {content1} and {content2}.;{name1} y {name2} están de acuerdo con {content1} y {content2}.
es_LA;{name1} and {name2} agreed with {content1}.;{name1} y {name2} están de acuerdo con {content1}.
es_LA;{name1} and {name2} agreed with a content.;{name1} y {name2} están de acuerdo con un contenido.
es_LA;{name1} and {name2} agreed with this.;{name1} y {name2} están de acuerdo con esto.
es_LA;{name1} and {name2} applauded {content count contents}.;{name1} y {name2} aplaudieron {content count contents}.
es_LA;{name1} and {name2} applauded {content1} and {content count other contents}.;{name1} y {name2} aplaudieron {content1} y {content count other contents}.
es_LA;{name1} and {name2} applauded {content1} and {content2}.;{name1} y {name2} aplaudieron {content1} y {content2}.
es_LA;{name1} and {name2} applauded {content1}.;{name1} y {name2} aplaudieron {content1}.
es_LA;{name1} and {name2} applauded a content.;{name1} y {name2} aplaudieron un contenido.
es_LA;{name1} and {name2} applauded this.;{name1} y {name2} aplaudieron esto.
es_LA;{name1} and {name2} approved {content count contents}.;{name1} y {name2} aprobaron {content count contents}.
es_LA;{name1} and {name2} approved {content1} and {content count other contents}.;{name1} y {name2} aprobaron {content1} y {content count other contents}.
es_LA;{name1} and {name2} approved {content1} and {content2}.;{name1} y {name2} aprobaron {content1} y {content2}.
es_LA;{name1} and {name2} approved {content1}.;{name1} y {name2} aprobaron {content1}.
es_LA;{name1} and {name2} approved a content.;{name1} y {name2} aprobaron un contenido.
es_LA;{name1} and {name2} approved this.;{name1} y {name2} aprobaron esto.
es_LA;{name1} and {name2} demanded {product count products}.;{name1} y {name2} solicitan {product count products}.
es_LA;{name1} and {name2} demanded {product1} and {product count other products}.;{name1} y {name2} solicitan {product1} y {product count other products}.
es_LA;{name1} and {name2} demanded {product1} and {product2}.;{name1} y {name2} solicitan {product1} y {product2}.
es_LA;{name1} and {name2} demanded {product1}.;{name1} y {name2} solicitan {product1}.
es_LA;{name1} and {name2} demanded a product.;{name1} y {name2} solicitan un producto.
es_LA;{name1} and {name2} demanded this.;{name1} y {name2} solicitan esto.
es_LA;{name1} and {name2} disagreed with {content count contents}.;{name1} y {name2} no están de acuerdo con {content count contents}.
es_LA;{name1} and {name2} disagreed with {content1} and {content count other contents}.;{name1} y {name2} no están de acuerdo con {content1} y {content count other contents}.
es_LA;{name1} and {name2} disagreed with {content1} and {content2}.;{name1} y {name2} no están de acuerdo con {content1} y {content2}.
es_LA;{name1} and {name2} disagreed with {content1}.;{name1} y {name2} no están de acuerdo con {content1}.
es_LA;{name1} and {name2} disagreed with a content.;{name1} y {name2} no están de acuerdo con un contenido.
es_LA;{name1} and {name2} disagreed with this.;{name1} y {name2} no están de acuerdo con esto.
es_LA;{name1} and {name2} disapproved {content count contents}.;{name1} y {name2} desaprueban {content count contents}.
es_LA;{name1} and {name2} disapproved {content1} and {content count other contents}.;{name1} y {name2} desaprueban {content1} y {content count other contents}.
es_LA;{name1} and {name2} disapproved {content1} and {content2}.;{name1} y {name2} desaprueban {content1} y {content2}.
es_LA;{name1} and {name2} disapproved {content1}.;{name1} y {name2} desaprueban {content1}.
es_LA;{name1} and {name2} disapproved a content.;{name1} y {name2} desaprueban un contenido.
es_LA;{name1} and {name2} disapproved this.;{name1} y {name2} desaprueban esto.
es_LA;{name1} and {name2} fancied {product count products}.;{name1} y {name2} quieren {product count products}.
es_LA;{name1} and {name2} fancied {product1} and {product count other products}.;{name1} y {name2} quieren {product1} y {product count other products}.
es_LA;{name1} and {name2} fancied {product1} and {product2}.;{name1} y {name2} quieren {product1} y {product2}.
es_LA;{name1} and {name2} fancied {product1}.;{name1} y {name2} quieren {product1}.
es_LA;{name1} and {name2} fancied a product.;{name1} y {name2} quieren un producto.
es_LA;{name1} and {name2} fancied this.;{name1} y {name2} quieren esto.
es_LA;{name1} and {name2} had {product count products}.;{name1} y {name2} tienen {product count products}.
es_LA;{name1} and {name2} had {product1} and {product count other products}.;{name1} y {name2} tienen {product1} y {product count other products}.
es_LA;{name1} and {name2} had {product1} and {product2}.;{name1} y {name2} tienen {product1} y {product2}.
es_LA;{name1} and {name2} had {product1}.;{name1} y {name2} tienen {product1}.
es_LA;{name1} and {name2} had a product.;{name1} y {name2} tienen un producto.
es_LA;{name1} and {name2} had this.;{name1} y {name2} tienen esto.
es_LA;{name1} and {name2} lolled {content count contents}.;{name1} y {name2} rieron a carcajadas de {content count contents}.
es_LA;{name1} and {name2} lolled {content1} and {content count other contents}.;{name1} y {name2} rieron a carcajadas de {content1} y {content count other contents}.
es_LA;{name1} and {name2} lolled {content1} and {content2}.;{name1} y {name2} rieron a carcajadas de {content1} y {content2}.
es_LA;{name1} and {name2} lolled {content1}.;{name1} y {name2} rieron a carcajadas de {content1}.
es_LA;{name1} and {name2} lolled at {product count products}.;{name1} y {name2} se rióron a carcajadas de {product count products}.
es_LA;{name1} and {name2} lolled at {product1} and {product count other products}.;{name1} y {name2} se rieron a carcajadas de {product1} y {product count other products}.
es_LA;{name1} and {name2} lolled at {product1} and {product2}.;{name1} y {name2} se rieron a carcajadas de {product1} y {product2}.
es_LA;{name1} and {name2} lolled at {product1}.;{name1} y {name2} se rieron a carcajadas de {product1}.
es_LA;{name1} and {name2} lolled at a content.;{name1} y {name2} se rieron a carcajadas de un contenido.
es_LA;{name1} and {name2} lolled at a product.;{name1} y {name2} se rieron a carcajadas de un producto.
es_LA;{name1} and {name2} lolled at this.;{name1} y {name2} se rieron a carcajadas de esto.
es_LA;{name1} and {name2} loved {content count contents}.;{name1} y {name2} aman {content count contents}.
es_LA;{name1} and {name2} loved {content1} and {content count other contents}.;{name1} y {name2} aman {content1} y {content count other contents}.
es_LA;{name1} and {name2} loved {content1} and {content2}.;{name1} y {name2} aman {content1} y {content2}.
es_LA;{name1} and {name2} loved {content1}.;{name1} y {name2} aman {content1}.
es_LA;{name1} and {name2} loved {product count products}.;{name1} y {name2} aman {product count products}.
es_LA;{name1} and {name2} loved {product1} and {product count other products}.;{name1} y {name2} aman {product1} y {product count other products}.
es_LA;{name1} and {name2} loved {product1} and {product2}.;{name1} y {name2} aman {product1} y {product2}.
es_LA;{name1} and {name2} loved {product1}.;{name1} y {name2} aman {product1}.
es_LA;{name1} and {name2} loved a content.;{name1} y {name2} aman un contenido.
es_LA;{name1} and {name2} loved a product.;{name1} y {name2} aman un producto.
es_LA;{name1} and {name2} loved this.;{name1} y {name2} aman esto.
es_LA;{name1} and {name2} needed {product count products}.;{name1} y {name2} necesitan {product count products}.
es_LA;{name1} and {name2} needed {product1} and {product count other products}.;{name1} y {name2} necesitan {product1} y {product count other products}.
es_LA;{name1} and {name2} needed {product1} and {product2}.;{name1} y {name2} necesitan {product1} y {product2}.
es_LA;{name1} and {name2} needed {product1}.;{name1} y {name2} necesitan {product1}.
es_LA;{name1} and {name2} needed a product.;{name1} y {name2} necesitan un producto.
es_LA;{name1} and {name2} needed this.;{name1} y {name2} necesitan esto.
es_LA;{name1} and {name2} opposed {content count contents}.;{name1} y {name2} se oponen a {content count contents}.
es_LA;{name1} and {name2} opposed {content1} and {content count other contents}.;{name1} y {name2} se oponen a {content1} y {content count other contents}.
es_LA;{name1} and {name2} opposed {content1} and {content2}.;{name1} y {name2} se oponen a {content1} y {content2}.
es_LA;{name1} and {name2} opposed {content1}.;{name1} y {name2} se oponen a {content1}.
es_LA;{name1} and {name2} opposed a content.;{name1} y {name2} se oponen a un contenido.
es_LA;{name1} and {name2} opposed this.;{name1} y {name2} se oponen a esto.
es_LA;{name1} and {name2} protested at {content count contents}.;{name1} y {name2} protestan en contra de {content count contents}.
es_LA;{name1} and {name2} protested at {content1} and {content count other contents}.;{name1} y {name2} protestan en contra de {content1} y {content count other contents}.
es_LA;{name1} and {name2} protested at {content1} and {content2}.;{name1} y {name2} protestan en contra de {content1} y {content2}.
es_LA;{name1} and {name2} protested at {content1}.;{name1} y {name2} protestan en contra de {content1}.
es_LA;{name1} and {name2} protested at a content.;{name1} y {name2} protestan en contra de un contenido.
es_LA;{name1} and {name2} protested at this.;{name1} y {name2} protestan en contra de esto.
es_LA;{name1} and {name2} reacted to {content count contents}.;{name1} and {name2} reacted to {content count contents} on {GetSocial C ac}.
es_LA;{name1} and {name2} reacted to {content1} and {content count other contents}.;{name1} y {name2} han reaccionado a {content1} y {content count other contents}.
es_LA;{name1} and {name2} reacted to {content1} and {content2}.;{name1} y {name2} han reaccionado a {content1} y {content2}.
es_LA;{name1} and {name2} reacted to {content1}.;{name1} y {name2} han reaccionado a {content1}.
es_LA;{name1} and {name2} reacted to {product count products}.;{name1} y {name2} han reaccionado a {product count products}.
es_LA;{name1} and {name2} reacted to {product1} and {product count other products}.;{name1} y {name2} han reaccionado a {product1} y {product count other products}.
es_LA;{name1} and {name2} reacted to {product1} and {product2}.;{name1} y {name2} han reaccionado a {product1} y {product2}.
