language;original_sentence;translated sentence
pt_BR;{name} suggested {number} contents.;{name} recomenda {number} conteúdos.
pt_BR;{name} suggested {number} products.;{name} recomenda {number} produtos.
pt_BR;{name} suggested a content.;{name} recomenda um conteúdo.
pt_BR;{name} suggested a product.;{name} recomenda um produto.
pt_BR;{name} supported {number} contents.;{name} apoia {number} conteúdos.
pt_BR;{name} supported a content.;{name} apoia um conteúdo.
pt_BR;{name} thought about {number} contents.;{name} pensou algo sobre {number} conteúdos.
pt_BR;{name} thought about {number} products.;{name} pensou algo sobre {number} produtos.
pt_BR;{name} thought about a content.;{name} pensou algo sobre um conteúdo.
pt_BR;{name} thought about a product.;{name} pensou algo sobre um produto.
pt_BR;{name} wished for {number} products.;{name} deseja {number} produtos.
pt_BR;{name} wished for a product.;{name} deseja um produto.
pt_BR;{name1} agreed with {content count contents}.;{name1} concordou com {content count contents}.
pt_BR;{name1} agreed with {content1} and {content count other contents}.;{name1} concordou com {content1} e {content count other contents}.
pt_BR;{name1} agreed with {content1} and {content2}.;{name1} concordou com {content1} e {content2}.
pt_BR;{name1} agreed with {content1}.;{name1} concordou com {content1}.
pt_BR;{name1} agreed with a content.;{name1} concordou com um conteúdo.
pt_BR;{name1} agreed with this.;{name1} concordou com isto.
pt_BR;{name1} and {name count others} agreed with {content count contents}.;{name1} e {name count others} concordam com {content count contents}.
pt_BR;{name1} and {name count others} agreed with {content1} and {content count other contents}.;{name1} e {name count others} concordam com {content1} e {content count other contents}.
pt_BR;{name1} and {name count others} agreed with {content1} and {content2}.;{name1} e {name count others} concordam com {content1} e {content2}.
pt_BR;{name1} and {name count others} agreed with {content1}.;{name1} e {name count others} concordam com {content1}.
pt_BR;{name1} and {name count others} agreed with a content.;{name1} e {name count others} concordam com um conteúdo.
pt_BR;{name1} and {name count others} applauded {content count contents}.;{name1} e {name count others} aplaudiram {content count contents}.
pt_BR;{name1} and {name count others} applauded {content1} and {content count other contents}.;{name1} e {name count others} aplaudiram {content1} e {content count other contents}.
pt_BR;{name1} and {name count others} applauded {content1} and {content2}.;{name1} e {name count others} aplaudiram {content1} e {content2}.
pt_BR;{name1} and {name count others} applauded {content1}.;{name1} e {name count others} aplaudiram {content1}.
pt_BR;{name1} and {name count others} applauded a content.;{name1} e {name count others} aplaudiram um conteúdo.
pt_BR;{name1} and {name count others} approved {content count contents}.;{name1} e {name count others} aprovam {content count contents}.
pt_BR;{name1} and {name count others} approved {content1} and {content count other contents}.;{name1} e {name count others} aprovam {content1} e {content count other contents}.
pt_BR;{name1} and {name count others} approved {content1} and {content2}.;{name1} e {name count others} aprovam {content1} e {content2}.
pt_BR;{name1} and {name count others} approved {content1}.;{name1} e {name count others} aprovam {content1}.
pt_BR;{name1} and {name count others} approved a content.;{name1} e {name count others} aprovam um conteúdo.
pt_BR;{name1} and {name count others} demanded {product count products}.;{name1} e {name count others} exigiram {product count products}.
pt_BR;{name1} and {name count others} demanded {product1} and {product count other products}.;{name1} e {name count others} exigiram {product1} e {product count other products}.
pt_BR;{name1} and {name count others} demanded {product1} and {product2}.;{name1} e {name count others} exigiram {product1} e {product2}.
pt_BR;{name1} and {name count others} demanded {product1}.;{name1} e {name count others} exigiram {product1}.
pt_BR;{name1} and {name count others} demanded a product.;{name1} e {name count others} exigiram um produto.
pt_BR;{name1} and {name count others} disagreed with {content count contents}.;{name1} e {name count others} discordam de {content count contents}.
pt_BR;{name1} and {name count others} disagreed with {content1} and {content count other contents}.;{name1} e {name count others} discordam de {content1} e {content count other contents}.
pt_BR;{name1} and {name count others} disagreed with {content1} and {content2}.;{name1} e {name count others} discordam de {content1} e {content2}.
pt_BR;{name1} and {name count others} disagreed with {content1}.;{name1} e {name count others} discordam de {content1}.
pt_BR;{name1} and {name count others} disagreed with a content.;{name1} e {name count others} discordam de um conteúdo.
pt_BR;{name1} and {name count others} disapproved {content count contents}.;{name1} e {name count others} desaprovam {content count contents}.
pt_BR;{name1} and {name count others} disapproved {content1} and {content count other contents}.;{name1} e {name count others} desaprovam {content1} e {content count other contents}.
pt_BR;{name1} and {name count others} disapproved {content1} and {content2}.;{name1} e {name count others} desaprovam {content1} e {content2}.
pt_BR;{name1} and {name count others} disapproved {content1}.;{name1} e {name count others} desaprovam {content1}.
pt_BR;{name1} and {name count others} disapproved a content.;{name1} e {name count others} desaprovam um conteúdo.
pt_BR;{name1} and {name count others} fancied {product count products}.;{name1} e {name count others} curtiram {product count products}.
pt_BR;{name1} and {name count others} fancied {product1} and {product count other products}.;{name1} e {name count others} curtiram {product1} e {product count other products}.
pt_BR;{name1} and {name count others} fancied {product1} and {product2}.;{name1} e {name count others} curtiram {product1} e {product2}.
pt_BR;{name1} and {name count others} fancied {product1}.;{name1} e {name count others} curtiram {product1}.
pt_BR;{name1} and {name count others} fancied a product.;{name1} e {name count others} curtiram um produto.
pt_BR;{name1} and {name count others} had {product count products}.;{name1} e {name count others} têm {product count products}.
pt_BR;{name1} and {name count others} had {product1} and {product count other products}.;{name1} e {name count others} têm {product1} e {product count other products}.
pt_BR;{name1} and {name count others} had {product1} and {product2}.;{name1} e {name count others} têm {product1} e {product2}.
pt_BR;{name1} and {name count others} had {product1}.;{name1} e {name count others} têm {product1}.
pt_BR;{name1} and {name count others} had a product.;{name1} e {name count others} têm um produto.
pt_BR;{name1} and {name count others} lolled {content count contents}.;{name1} e {name count others} riram à gargalhada de {content count contents}.
pt_BR;{name1} and {name count others} lolled {content1} and {content count other contents}.;{name1} e {name count others} riram à gargalhada de {content1} e {content count other contents}.
pt_BR;{name1} and {name count others} lolled {content1} and {content2}.;{name1} e {name count others} riram à gargalhada de {content1} e {content2}.
pt_BR;{name1} and {name count others} lolled {content1}.;{name1} e {name count others} riram à gargalhada de {content1}.
pt_BR;{name1} and {name count others} lolled at {product count products}.;{name1} e {name count others} riram à gargalhada de {product count products}.
pt_BR;{name1} and {name count others} lolled at {product1} and {product count other products}.;{name1} e {name count others} riram à gargalhada de {product1} e {product count other products}.
pt_BR;{name1} and {name count others} lolled at {product1} and {product2}.;{name1} e {name count others} riram à gargalhada de {product1} e {product2}.
pt_BR;{name1} and {name count others} lolled at {product1}.;{name1} e {name count others} riram à gargalhada de {product1}.
pt_BR;{name1} and {name count others} lolled at a content.;{name1} e {name count others} riram à gargalhada de um conteúdo.
pt_BR;{name1} and {name count others} lolled at a product.;{name1} e {name count others} riram à gargalhada de um produto.
pt_BR;{name1} and {name count others} loved {content count contents}.;{name1} e {name count others} amam {content count contents}.
pt_BR;{name1} and {name count others} loved {content1} and {content count other contents}.;{name1} e {name count others} amam {content1} e {content count other contents}.
pt_BR;{name1} and {name count others} loved {content1} and {content2}.;{name1} e {name count others} amam {content1} e {content2}.
pt_BR;{name1} and {name count others} loved {content1}.;{name1} e {name count others} amam {content1}.
pt_BR;{name1} and {name count others} loved {product count products}.;{name1} e {name count others} amam {product count products}.
pt_BR;{name1} and {name count others} loved {product1} and {product count other products}.;{name1} e {name count others} amam {product1} e {product count other products}.
pt_BR;{name1} and {name count others} loved {product1} and {product2}.;{name1} e {name count others} amam {product1} e {product2}.
pt_BR;{name1} and {name count others} loved {product1}.;{name1} e {name count others} amam {product1}.
pt_BR;{name1} and {name count others} loved a content.;{name1} e {name count others} amam um conteúdo.
pt_BR;{name1} and {name count others} loved a product.;{name1} e {name count others} amam um produto.
pt_BR;{name1} and {name count others} needed {product count products}.;{name1} e {name count others} necessitam de {product count products}.
pt_BR;{name1} and {name count others} needed {product1} and {product count other products}.;{name1} e {name count others} necessitam de {product1} e {product count other products}.
pt_BR;{name1} and {name count others} needed {product1} and {product2}.;{name1} e {name count others} necessitam de {product1} e {product2}.
pt_BR;{name1} and {name count others} needed {product1}.;{name1} e {name count others} necessitam de {product1}.
pt_BR;{name1} and {name count others} needed a product.;{name1} e {name count others} necessitam de um produto.
pt_BR;{name1} and {name count others} opposed {content count contents}.;{name1} e {name count others} opõem-se a {content count contents}.
pt_BR;{name1} and {name count others} opposed {content1} and {content count other contents}.;{name1} e {name count others} opõem-se a {content1} e {content count other contents}.
pt_BR;{name1} and {name count others} opposed {content1} and {content2}.;{name1} e {name count others} opõem-se a {content1} e {content2}.
pt_BR;{name1} and {name count others} opposed {content1}.;{name1} e {name count others} opõem-se a {content1}.
pt_BR;{name1} and {name count others} opposed a content.;{name1} e {name count others} opõem-se a um conteúdo.
pt_BR;{name1} and {name count others} protested at {content count contents}.;{name1} e {name count others} protestam contra {content count contents}.
pt_BR;{name1} and {name count others} protested at {content1} and {content count other contents}.;{name1} e {name count others} protestam contra {content1} e {content count other contents}.
pt_BR;{name1} and {name count others} protested at {content1} and {content2}.;{name1} e {name count others} protestam contra {content1} e {content2}.
pt_BR;{name1} and {name count others} protested at {content1}.;{name1} e {name count others} protestam contra {content1}.
pt_BR;{name1} and {name count others} protested at a content.;{name1} e {name count others} protestam contra um conteúdo.
pt_BR;{name1} and {name count others} reacted to {content count contents}.;{name1} e {name count others} reagiram a {content count contents}.
pt_BR;{name1} and {name count others} reacted to {content1} and {content count other contents}.;{name1} e {name count others} reagiram a {content1} e {content count other contents}.
pt_BR;{name1} and {name count others} reacted to {content1} and {content2}.;{name1} e {name count others} reagiram a {content1} e {content2}.
pt_BR;{name1} and {name count others} reacted to {content1}.;{name1} e {name count others} reagiram a {content1}.
pt_BR;{name1} and {name count others} reacted to {product count products}.;{name1} e {name count others} reagiram a {product count products}.
pt_BR;{name1} and {name count others} reacted to {product1} and {product count other products}.;{name1} e {name count others} reagiram a {product1} e {product count other products}.
pt_BR;{name1} and {name count others} reacted to {product1} and {product2}.;{name1} e {name count others} reagiram a {product1} e {product2}.
pt_BR;{name1} and {name count others} reacted to {product1}.;{name1} e {name count others} reagiram a {product1}.
pt_BR;{name1} and {name count others} reacted to a content.;{name1} e {name count others} reagiram a um conteúdo.
pt_BR;{name1} and {name count others} reacted to a product.;{name1} e {name count others} reagiram a um produto.
pt_BR;{name1} and {name count others} respected {content count contents}.;{name1} e {name count others} respeitam {content count contents}.
pt_BR;{name1} and {name count others} respected {content1} and {content count other contents}.;{name1} e {name count others} respeitam {content1} e {content count other contents}.
pt_BR;{name1} and {name count others} respected {content1} and {content2}.;{name1} e {name count others} respeitam {content1} e {content2}.
pt_BR;{name1} and {name count others} respected {content1}.;{name1} e {name count others} respeitam {content1}.
pt_BR;{name1} and {name count others} respected a content.;{name1} e {name count others} respeitam um conteúdo.
pt_BR;{name1} and {name count others} smiled at {content count contents}.;{name1} e {name count others} sorriram a {content count contents}.
pt_BR;{name1} and {name count others} smiled at {content1} and {content count other contents}.;{name1} e {name count others} sorriram a {content1} e {content count other contents}.
pt_BR;{name1} and {name count others} smiled at {content1} and {content2}.;{name1} e {name count others} sorriram a {content1} e {content2}.
pt_BR;{name1} and {name count others} smiled at {content1}.;{name1} e {name count others} sorriram a {content1}.
pt_BR;{name1} and {name count others} smiled at {product count products}.;{name1} e {name count others} sorriram a {product count products}.
pt_BR;{name1} and {name count others} smiled at {product1} and {product count other products}.;{name1} e {name count others} sorriram a {product1} e {product count other products}.
pt_BR;{name1} and {name count others} smiled at {product1} and {product2}.;{name1} e {name count others} sorriram a {product1} e {product2}.
pt_BR;{name1} and {name count others} smiled at {product1}.;{name1} e {name count others} sorriram a {product1}.
pt_BR;{name1} and {name count others} smiled at a content.;{name1} e {name count others} sorriram a um conteúdo.
pt_BR;{name1} and {name count others} smiled at a product.;{name1} e {name count others} sorriram a um produto.
pt_BR;{name1} and {name count others} suggested {content count contents}.;{name1} e {name count others} sorriram a {content count contents}.
pt_BR;{name1} and {name count others} suggested {content1} and {content count other contents}.;{name1} e {name count others} sorriram a {content1} e {content count other contents}.
pt_BR;{name1} and {name count others} suggested {content1} and {content2}.;{name1} e {name count others} sorriram a {content1} e {content2}.
pt_BR;{name1} and {name count others} suggested {content1}.;{name1} e {name count others} sorriram a {content1}.
pt_BR;{name1} and {name count others} suggested {product count products}.;{name1} e {name count others} sorriram a {product count products}.
pt_BR;{name1} and {name count others} suggested {product1} and {product count other products}.;{name1} e {name count others} sorriram a {product1} e {product count other products}.
pt_BR;{name1} and {name count others} suggested {product1} and {product2}.;{name1} e {name count others} sorriram a {product1} e {product2}.
pt_BR;{name1} and {name count others} suggested {product1}.;{name1} e {name count others} sorriram a {product1}.
pt_BR;{name1} and {name count others} suggested a content.;{name1} e {name count others} sorriram a um conteúdo.
pt_BR;{name1} and {name count others} suggested a product.;{name1} e {name count others} sorriram a um produto.
pt_BR;{name1} and {name count others} supported {content count contents}.;{name1} e {name count others} apoiam {content count contents}.
pt_BR;{name1} and {name count others} supported {content1} and {content count other contents}.;{name1} e {name count others} apoiam {content1} e {content count other contents}.
pt_BR;{name1} and {name count others} supported {content1} and {content2}.;{name1} e {name count others} apoiam {content1} e {content2}.
pt_BR;{name1} and {name count others} supported {content1}.;{name1} e {name count others} apoiam {content1}.
pt_BR;{name1} and {name count others} supported a content.;{name1} e {name count others} apoiam um conteúdo.
pt_BR;{name1} and {name count others} thought about {content count contents}.;{name1} e {name count others} pensaram algo acerca de {content count contents}.
pt_BR;{name1} and {name count others} thought about {content1} and {content count other contents}.;{name1} e {name count others} pensaram algo acerca de {content1} e {content count other contents}.
pt_BR;{name1} and {name count others} thought about {content1} and {content2}.;{name1} e {name count others} pensaram algo acerca de {content1} e {content2}.
pt_BR;{name1} and {name count others} thought about {content1}.;{name1} e {name count others} pensaram algo acerca de {content1}.
pt_BR;{name1} and {name count others} thought about {product count products}.;{name1} e {name count others} pensaram algo acerca de {product count products}.
pt_BR;{name1} and {name count others} thought about {product1} and {product count other products}.;{name1} e {name count others} pensaram algo acerca de {product1} e {product count other products}.
pt_BR;{name1} and {name count others} thought about {product1} and {product2}.;{name1} e {name count others} pensaram algo acerca de {product1} e {product2}.
pt_BR;{name1} and {name count others} thought about {product1}.;{name1} e {name count others} pensaram algo acerca de {product1}.
pt_BR;{name1} and {name count others} thought about a content.;{name1} e {name count others} pensaram algo acerca de um conteúdo.
pt_BR;{name1} and {name count others} thought about a product.;{name1} e {name count others} pensaram algo acerca de um produto.
pt_BR;{name1} and {name count others} wished for {product count products}.;{name1} e {name count others} desejam {product count products}.
pt_BR;{name1} and {name count others} wished for {product1} and {product count other products}.;{name1} e {name count others} desejam {product1} e {product count other products}.
pt_BR;{name1} and {name count others} wished for {product1} and {product2}.;{name1} e {name count others} desejam {product1} e {product2}.
pt_BR;{name1} and {name count others} wished for {product1}.;{name1} e {name count others} desejam {product1}.
pt_BR;{name1} and {name count others} wished for a product.;{name1} e {name count others} desejam um produto.
pt_BR;{name1} and {name count} others agreed with this.;{name1} e {name count} outros concordam com isto.
pt_BR;{name1} and {name count} others applauded this.;{name1} e {name count} outros aplaudiram isto.
pt_BR;{name1} and {name count} others approved this.;{name1} e {name count} outros aprovam isto.
pt_BR;{name1} and {name count} others demanded this.;{name1} e {name count} outros exigiram isto.
pt_BR;{name1} and {name count} others disagreed with this.;{name1} e {name count} outros discordam de isto.
pt_BR;{name1} and {name count} others disapproved this.;{name1} e {name count} outros desaprovam isto.
pt_BR;{name1} and {name count} others fancied this.;{name1} e {name count} outros curtiram isto.
pt_BR;{name1} and {name count} others had this.;{name1} e {name count} outros têm isto.
pt_BR;{name1} and {name count} others lolled at this.;{name1} e {name count} outros riram à gargalhada de isto.
pt_BR;{name1} and {name count} others loved this.;{name1} e {name count} outros amam isto.
pt_BR;{name1} and {name count} others needed this.;{name1} e {name count} outros necessitam de isto.
pt_BR;{name1} and {name count} others opposed this.;{name1} e {name count} outros opõem-se a isto.
pt_BR;{name1} and {name count} others protested at this.;{name1} e {name count} outros protestam contra isto.
pt_BR;{name1} and {name count} others reacted to this.;{name1} e {name count} outros reagiram a isto.
pt_BR;{name1} and {name count} others respected this.;{name1} e {name count} outros respeitam isto.
pt_BR;{name1} and {name count} others smiled at this.;{name1} e {name count} outros sorriram a isto.
pt_BR;{name1} and {name count} others suggested this.;{name1} e {name count} outros sorriram a isto.
pt_BR;{name1} and {name count} others supported this.;{name1} e {name count} outros apoiam isto.
pt_BR;{name1} and {name count} others thought about this.;{name1} e {name count} outros pensaram algo acerca de isto.
pt_BR;{name1} and {name count} others wished for this.;{name1} e {name count} outros desejam isto.
pt_BR;{name1} and {name2} agreed with {content count contents}.;{name1} e {name2} concordam com {content count contents}.
pt_BR;{name1} and {name2} agreed with {content1} and {content count other contents}.;{name1} e {name2} concordam com {content1} e {content count other contents}.
pt_BR;{name1} and {name2} agreed with {content1} and {content2}.;{name1} e {name2} concordam com {content1} e {content2}.
pt_BR;{name1} and {name2} agreed with {content1}.;{name1} e {name2} concordam com {content1}.
pt_BR;{name1} and {name2} agreed with a content.;{name1} e {name2} concordam com um conteúdo.
pt_BR;{name1} and {name2} agreed with this.;{name1} e {name2} concordam com isto.
pt_BR;{name1} and {name2} applauded {content count contents}.;{name1} e {name2} aplaudiram {content count contents}.
pt_BR;{name1} and {name2} applauded {content1} and {content count other contents}.;{name1} e {name2} aplaudiram {content1} e {content count other contents}.
pt_BR;{name1} and {name2} applauded {content1} and {content2}.;{name1} e {name2} aplaudiram {content1} e {content2}.
pt_BR;{name1} and {name2} applauded {content1}.;{name1} e {name2} aplaudiram {content1}.
pt_BR;{name1} and {name2} applauded a content.;{name1} e {name2} aplaudiram um conteúdo.
pt_BR;{name1} and {name2} applauded this.;{name1} e {name2} aplaudiram isto.
pt_BR;{name1} and {name2} approved {content count contents}.;{name1} e {name2} aprovam {content count contents}.
pt_BR;{name1} and {name2} approved {content1} and {content count other contents}.;{name1} e {name2} aprovam {content1} e {content count other contents}.
pt_BR;{name1} and {name2} approved {content1} and {content2}.;{name1} e {name2} aprovam {content1} e {content2}.
pt_BR;{name1} and {name2} approved {content1}.;{name1} e {name2} aprovam {content1}.
pt_BR;{name1} and {name2} approved a content.;{name1} e {name2} aprovam um conteúdo.
pt_BR;{name1} and {name2} approved this.;{name1} e {name2} aprovam isto.
pt_BR;{name1} and {name2} demanded {product count products}.;{name1} e {name2} exigiram {product count products}.
pt_BR;{name1} and {name2} demanded {product1} and {product count other products}.;{name1} e {name2} exigiram {product1} e {product count other products}.
pt_BR;{name1} and {name2} demanded {product1} and {product2}.;{name1} e {name2} exigiram {product1} e {product2}.
pt_BR;{name1} and {name2} demanded {product1}.;{name1} e {name2} exigiram {product1}.
pt_BR;{name1} and {name2} demanded a product.;{name1} e {name2} exigiram um produto.
pt_BR;{name1} and {name2} demanded this.;{name1} e {name2} exigiram isto.
pt_BR;{name1} and {name2} disagreed with {content count contents}.;{name1} e {name2} discordam de {content count contents}.
pt_BR;{name1} and {name2} disagreed with {content1} and {content count other contents}.;{name1} e {name2} discordam de {content1} e {content count other contents}.
pt_BR;{name1} and {name2} disagreed with {content1} and {content2}.;{name1} e {name2} discordam de {content1} e {content2}.
pt_BR;{name1} and {name2} disagreed with {content1}.;{name1} e {name2} discordam de {content1}.
pt_BR;{name1} and {name2} disagreed with a content.;{name1} e {name2} discordam de um conteúdo.
pt_BR;{name1} and {name2} disagreed with this.;{name1} e {name2} discordam de isto.
pt_BR;{name1} and {name2} disapproved {content count contents}.;{name1} e {name2} desaprovam {content count contents}.
pt_BR;{name1} and {name2} disapproved {content1} and {content count other contents}.;{name1} e {name2} desaprovam {content1} e {content count other contents}.
pt_BR;{name1} and {name2} disapproved {content1} and {content2}.;{name1} e {name2} desaprovam {content1} e {content2}.
pt_BR;{name1} and {name2} disapproved {content1}.;{name1} e {name2} desaprovam {content1}.
pt_BR;{name1} and {name2} disapproved a content.;{name1} e {name2} desaprovam um conteúdo.
pt_BR;{name1} and {name2} disapproved this.;{name1} e {name2} desaprovam isto.
pt_BR;{name1} and {name2} fancied {product count products}.;{name1} e {name2} curtiram {product count products}.
pt_BR;{name1} and {name2} fancied {product1} and {product count other products}.;{name1} e {name2} curtiram {product1} e {product count other products}.
pt_BR;{name1} and {name2} fancied {product1} and {product2}.;{name1} e {name2} curtiram {product1} e {product2}.
pt_BR;{name1} and {name2} fancied {product1}.;{name1} e {name2} curtiram {product1}.
pt_BR;{name1} and {name2} fancied a product.;{name1} e {name2} curtiram um produto.
pt_BR;{name1} and {name2} fancied this.;{name1} e {name2} curtiram isto.
pt_BR;{name1} and {name2} had {product count products}.;{name1} e {name2} têm {product count products}.
pt_BR;{name1} and {name2} had {product1} and {product count other products}.;{name1} e {name2} têm {product1} e {product count other products}.
pt_BR;{name1} and {name2} had {product1} and {product2}.;{name1} e {name2} têm {product1} e {product2}.
pt_BR;{name1} and {name2} had {product1}.;{name1} e {name2} têm {product1}.
pt_BR;{name1} and {name2} had a product.;{name1} e {name2} têm um produto.
pt_BR;{name1} and {name2} had this.;{name1} e {name2} têm isto.
pt_BR;{name1} and {name2} lolled {content count contents}.;{name1} e {name2} riram à gargalhada de {content count contents}.
pt_BR;{name1} and {name2} lolled {content1} and {content count other contents}.;{name1} e {name2} riram à gargalhada de {content1} e {content count other contents}.
pt_BR;{name1} and {name2} lolled {content1} and {content2}.;{name1} e {name2} riram à gargalhada de {content1} e {content2}.
pt_BR;{name1} and {name2} lolled {content1}.;{name1} e {name2} riram à gargalhada de {content1}.
pt_BR;{name1} and {name2} lolled at {product count products}.;{name1} e {name2} riram à gargalhada de {product count products}.
pt_BR;{name1} and {name2} lolled at {product1} and {product count other products}.;{name1} e {name2} riram à gargalhada de {product1} e {product count other products}.
pt_BR;{name1} and {name2} lolled at {product1} and {product2}.;{name1} e {name2} riram à gargalhada de {product1} e {product2}.
pt_BR;{name1} and {name2} lolled at {product1}.;{name1} e {name2} riram à gargalhada de {product1}.
pt_BR;{name1} and {name2} lolled at a content.;{name1} e {name2} riram à gargalhada de um conteúdo.
pt_BR;{name1} and {name2} lolled at a product.;{name1} e {name2} riram à gargalhada de um produto.
pt_BR;{name1} and {name2} lolled at this.;{name1} e {name2} riram à gargalhada de isto.
pt_BR;{name1} and {name2} loved {content count contents}.;{name1} e {name2} amam {content count contents}.
pt_BR;{name1} and {name2} loved {content1} and {content count other contents}.;{name1} e {name2} amam {content1} e {content count other contents}.
pt_BR;{name1} and {name2} loved {content1} and {content2}.;{name1} e {name2} amam {content1} e {content2}.
pt_BR;{name1} and {name2} loved {content1}.;{name1} e {name2} amam {content1}.
pt_BR;{name1} and {name2} loved {product count products}.;{name1} e {name2} amam {product count products}.
pt_BR;{name1} and {name2} loved {product1} and {product count other products}.;{name1} e {name2} amam {product1} e {product count other products}.
pt_BR;{name1} and {name2} loved {product1} and {product2}.;{name1} e {name2} amam {product1} e {product2}.
pt_BR;{name1} and {name2} loved {product1}.;{name1} e {name2} amam {product1}.
pt_BR;{name1} and {name2} loved a content.;{name1} e {name2} amam um conteúdo.
pt_BR;{name1} and {name2} loved a product.;{name1} e {name2} amam um produto.
pt_BR;{name1} and {name2} loved this.;{name1} e {name2} amam isto.
pt_BR;{name1} and {name2} needed {product count products}.;{name1} e {name2} necessitam de {product count products}.
pt_BR;{name1} and {name2} needed {product1} and {product count other products}.;{name1} e {name2} necessitam de {product1} e {product count other products}.
pt_BR;{name1} and {name2} needed {product1} and {product2}.;{name1} e {name2} necessitam de {product1} e {product2}.
pt_BR;{name1} and {name2} needed {product1}.;{name1} e {name2} necessitam de {product1}.
pt_BR;{name1} and {name2} needed a product.;{name1} e {name2} necessitam de um produto.
pt_BR;{name1} and {name2} needed this.;{name1} e {name2} necessitam de isto.
pt_BR;{name1} and {name2} opposed {content count contents}.;{name1} e {name2} opõem-se a {content count contents}.
pt_BR;{name1} and {name2} opposed {content1} and {content count other contents}.;{name1} e {name2} opõem-se a {content1} e {content count other contents}.
pt_BR;{name1} and {name2} opposed {content1} and {content2}.;{name1} e {name2} opõem-se a {content1} e {content2}.
pt_BR;{name1} and {name2} opposed {content1}.;{name1} e {name2} opõem-se a {content1}.
pt_BR;{name1} and {name2} opposed a content.;{name1} e {name2} opõem-se a um conteúdo.
pt_BR;{name1} and {name2} opposed this.;{name1} e {name2} opõem-se a isto.
pt_BR;{name1} and {name2} protested at {content count contents}.;{name1} e {name2} protestam contra {content count contents}.
pt_BR;{name1} and {name2} protested at {content1} and {content count other contents}.;{name1} e {name2} protestam contra {content1} e {content count other contents}.
pt_BR;{name1} and {name2} protested at {content1} and {content2}.;{name1} e {name2} protestam contra {content1} e {content2}.
pt_BR;{name1} and {name2} protested at {content1}.;{name1} e {name2} protestam contra {content1}.
pt_BR;{name1} and {name2} protested at a content.;{name1} e {name2} protestam contra um conteúdo.
pt_BR;{name1} and {name2} protested at this.;{name1} e {name2} protestam contra isto.
pt_BR;{name1} and {name2} reacted to {content count contents}.;{name1} e {name2} reagiram a {content count contents}.
pt_BR;{name1} and {name2} reacted to {content1} and {content count other contents}.;{name1} e {name2} reagiram a {content1} e {content count other contents}.
pt_BR;{name1} and {name2} reacted to {content1} and {content2}.;{name1} e {name2} reagiram a {content1} e {content2}.
pt_BR;{name1} and {name2} reacted to {content1}.;{name1} e {name2} reagiram a {content1}.
